#name	radius	orbital_period	semi_major_axis	tperi	impact_parameter	star_name	ra	dec	mag_v
1SWASPJ1407b	nan	3725	3.9	nan	nan	1SWASPJ1407	211.95	-39.76194447	12.4
2M1510Aa	1.57	20.902	0.063	nan	nan	nan	227.6991667	-28.30472223	nan
2M1510Ab	1.57	20.902	0.063	nan	nan	nan	227.6991667	-28.30472223	nan
38Virb	nan	825.9	1.82	nan	nan	38Vir	193.2964895	-3.553099291	6.11
55Cnce	0.1737	0.7365478	0.015439	2449999.836	nan	55Cnc	133.1541667	28.3338889	5.95
AD3116b	1.02	1.982796	nan	nan	nan	AD3116	130.6643334	19.41441632	nan
AUMicb	0.3908	8.462991	0.0645	nan	0.16	AUMic	311.2916667	-31.34083335	8.6
AUMicc	0.3131	18.858991	0.1101	nan	nan	AUMic	311.2916667	-31.34083335	8.6
BD+20594b	0.23	41.6855	0.241	nan	nan	BD+20594	53.650967	20.599232	11
CoRoT-1b	1.49	1.5089557	0.0254	nan	nan	CoRoT-1	102.0791667	-3.1022222	13.6
CoRoT-10b	0.97	13.2406	0.1055	2454990.85	nan	CoRoT-10	291.0625	0.7461111	15.22
CoRoT-11b	1.43	2.994325	0.04351	nan	nan	CoRoT-11	280.6875	5.9377778	12.94
CoRoT-12b	1.44	2.828042	0.04016	nan	nan	CoRoT-12	100.7666667	-1.2963889	15.52
CoRoT-13b	0.885	4.03519	0.051	nan	nan	CoRoT-13	102.7208333	-5.0863889	15.04
CoRoT-14b	1.09	1.51214	0.027	2454787.67	nan	CoRoT-14	103.425	-5.5361111	16.03
CoRoT-15b	1.12	3.06036	0.045	nan	0.38	CoRoT-15	97.11666668	6.186241673	nan
CoRoT-16b	1.17	5.35227	0.0618	nan	nan	CoRoT-16	278.525	-6.0025	15.64
CoRoT-17b	1.02	3.768125	0.0461	nan	nan	CoRoT-17	278.6958333	-6.6122222	15.46
CoRoT-18b	1.31	1.9000693	0.0295	nan	nan	CoRoT-18	98.17083335	0.031388901	14.99
CoRoT-19b	1.29	3.89713	0.0518	nan	nan	CoRoT-19	97.03333334	0.170555562	14.78
CoRoT-2b	1.465	1.7429964	0.0281	nan	nan	CoRoT-2	291.7791667	1.3838889	12.57
CoRoT-20b	0.84	9.24285	0.0902	nan	nan	CoRoT-20	97.730434	0.22692	14.66
CoRoT-21b	1.3	2.72474	0.0417	nan	nan	CoRoT-21	101.05245	-0.29913	16
CoRoT-22b	0.4354	9.75598	0.092	nan	nan	CoRoT-22	280.6666667	6.225000011	11.93
CoRoT-23b	1.08	3.6314	0.0477	nan	nan	CoRoT-23	279.782615	4.3578	15.63
CoRoT-24b	0.33	5.1134	0.056	nan	nan	CoRoT-24	101.925	-3.719444461	nan
CoRoT-24c	0.44	11.759	0.098	nan	nan	CoRoT-24	101.925	-3.719444461	nan
CoRoT-25b	1.08	4.86069	0.0578	nan	nan	CoRoT-25	280.6292	6.5139	15
CoRoT-26b	1.26	4.20474	0.0526	nan	nan	CoRoT-26	279.75	6.97	15.76
CoRoT-27b	1.007	3.57532	0.0476	nan	nan	CoRoT-27	278.4958	5.5386	15.54
CoRoT-28b	0.955	5.20851	0.059	nan	0.24	CoRoT-28	278.6875	5.5739	13.49
CoRoT-29b	0.9	2.85057	0.039	nan	0.43	CoRoT-29	278.9042	6.4797	15.35
CoRoT-3b	1.19	4.2567994	0.057	nan	nan	CoRoT-3	292.0541667	0.1219444	13.3
CoRoT-30b	1.009	9.06005	0.0844	nan	0	CoRoT-30	277.6	6.835833352	15.65
CoRoT-31b	1.46	4.62941	0.0586	nan	0.87	CoRoT-31	94.82083334	-4.422222235	15.7
CoRoT-32b	0.57	6.71837	0.071	nan	nan	CoRoT-32	100.1958333	9.257500011	14
CoRoT-33b	1.1	5.819143	0.0579	nan	1.04	CoRoT-33	279.6416667	5.624722241	14.7
CoRoT-4b	1.19	9.20205	0.09	nan	nan	CoRoT-4	102.1958333	-0.6727778	13.7
CoRoT-5b	1.33	4.0378962	0.04947	nan	nan	CoRoT-5	101.2791667	0.8152778	14
CoRoT-6b	1.166	8.886593	0.0855	2454595.614	nan	CoRoT-6	281.075	6.6633333	13.9
CoRoT-7b	0.136	0.853585	0.0172	nan	nan	CoRoT-7	100.9541667	-1.0627778	11.7
CoRoT-8b	0.5692	6.21229	0.063	nan	nan	CoRoT-8	291.5875	1.4266667	14.8
CoRoT-9b	0.94	95.273804	0.407	nan	nan	CoRoT-9	280.7875	6.2041667	13.7
DSTucAb	0.5085	8.138268	0.0795	nan	0.4	DSTucA	354.9166667	-69.19583335	9
EPIC201170410b	0.09341	6.7987	0.0349	nan	0.46	EPIC201170410	170.1416667	-4.806944466	nan
EPIC201238110b	0.167	28.1656	nan	nan	0.24	EPIC201238110	179.705933	-3.389389	nan
EPIC201295312b	0.245	5.65639	nan	nan	0.43	K2-44	174.011627	-2.520881	12.5
